Name,givingInDistributionMean,givingInDistributionSD,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax,givingUpProb
EP,0,0,  0,0,1,1,0
Ext_AF,0,0,  0,0,1,1,0
IA,0,0,  0,0,1,1,0
Int_AF,0,0,  0,0,1,1,0
Int_Fa,0,0,  0,0,1,1,0
IP,0,0,  0,0,1,1,0
MF,0,0,  0,0,1,1,0
Min_man,0,0,  0,0,1,1,0
Mix_Fa,0,0,  0,0,1,1,0
Mix_For,0,0,  0,0,1,1,0
Mix_P,0,0,  0,0,1,1,0
Multifun,0,0,  0,0,1,1,0
P-Ur,0,0,  0,0,1,1,0
UL,0,0,  0,0,1,1,0
UMF,0,0,  0,0,1,1,0
Ur,0,0,100,0,1,1,0
VEP,0,0,  0,0,1,1,0
